2020-05-20 17:47:14.770 | INFO | /home/xh/code/texas_poker/server/network/protocols.py:28 | MainProcess | - recv client from 127.0.0.1, 52352: {'info': 'ai_vs_ai', 'room_id': 100, 'room_number': 2, 'bots': ['CallAgent', 'CallAgent'], 'game_number': 100}
2020-05-20 17:47:14.773 | INFO | /home/xh/code/texas_poker/server/network/scheduler.py:38 | MainProcess | - recv connect message {'info': 'ai_vs_ai', 'room_id': 100, 'room_number': 2, 'bots': ['CallAgent', 'CallAgent'], 'game_number': 100, 'uuid': 'f7a80c25-bdd5-4a02-ae46-44ec962731d0'}
2020-05-20 17:47:14.777 | INFO | /home/xh/code/texas_poker/server/network/protocols.py:28 | MainProcess | - recv client from 127.0.0.1, 52358: {'info': 'connect', 'room_id': 100, 'name': 'CallAgent', 'room_number': 2, 'game_number': 100, 'bots': []}
2020-05-20 17:47:14.779 | INFO | /home/xh/code/texas_poker/server/network/scheduler.py:38 | MainProcess | - recv connect message {'info': 'connect', 'room_id': 100, 'name': 'CallAgent', 'room_number': 2, 'game_number': 100, 'bots': [], 'uuid': '430af9f6-e3e2-42ff-80ea-099239093b5c'}
2020-05-20 17:47:14.779 | INFO | /home/xh/code/texas_poker/server/network/protocols.py:28 | MainProcess | - recv client from 127.0.0.1, 52360: {'info': 'connect', 'room_id': 100, 'name': 'CallAgent2', 'room_number': 2, 'game_number': 100, 'bots': []}
2020-05-20 17:47:14.782 | INFO | /home/xh/code/texas_poker/server/network/scheduler.py:38 | MainProcess | - recv connect message {'info': 'connect', 'room_id': 100, 'name': 'CallAgent2', 'room_number': 2, 'game_number': 100, 'bots': [], 'uuid': '344bc915-6a60-491d-8deb-af5f93944577'}
2020-05-20 18:39:36.917 | INFO | /home/xh/code/texas_poker/server/network/protocols.py:28 | MainProcess | - recv client from 127.0.0.1, 57972: {'info': 'ai_vs_ai', 'room_id': 0, 'room_number': 2, 'bots': ['CallAgent', 'CallAgent'], 'game_number': 50}
2020-05-20 18:39:36.920 | INFO | /home/xh/code/texas_poker/server/network/scheduler.py:38 | MainProcess | - recv connect message {'info': 'ai_vs_ai', 'room_id': 0, 'room_number': 2, 'bots': ['CallAgent', 'CallAgent'], 'game_number': 50, 'uuid': '01d9be5a-d100-4456-b789-2058a735fe84'}
2020-05-20 18:39:36.926 | INFO | /home/xh/code/texas_poker/server/network/protocols.py:28 | MainProcess | - recv client from 127.0.0.1, 57978: {'info': 'connect', 'room_id': 0, 'name': 'CallAgent', 'room_number': 2, 'game_number': 50, 'bots': []}
2020-05-20 18:39:36.928 | INFO | /home/xh/code/texas_poker/server/network/scheduler.py:38 | MainProcess | - recv connect message {'info': 'connect', 'room_id': 0, 'name': 'CallAgent', 'room_number': 2, 'game_number': 50, 'bots': [], 'uuid': '7c19fd46-e783-4abd-8a85-d8a0630726ef'}
2020-05-20 18:39:36.928 | INFO | /home/xh/code/texas_poker/server/network/protocols.py:28 | MainProcess | - recv client from 127.0.0.1, 57980: {'info': 'connect', 'room_id': 0, 'name': 'CallAgent2', 'room_number': 2, 'game_number': 50, 'bots': []}
